gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
CTAG1A,ENSG00000268651,ENST00000599837,,,0.20103026,,
CTAG2,ENSG00000126890,ENST00000369585,O75638,Cancer/testis antigen 2 ,0.635909333,,
CTAGE1,ENSG00000212710,ENST00000525417,Q9HC47,Cutaneous T-cell lymphoma-associated antigen 1 ,0.0,,
CTAGE15,ENSG00000271079,ENST00000420911,A4D2H0,cTAGE family member 15 ,0.0,,
CTAGE4,ENSG00000225932,ENST00000486333,Q8IX94,cTAGE family member 4 ,0.0,,
CTAGE6,ENSG00000271321,ENST00000470691,Q86UF2,cTAGE family member 6 ,0.0,,
CTAGE8,ENSG00000244693,ENST00000487179,P0CG41,cTAGE family member 8 ,0.0,,
CTAGE9,ENSG00000236761,ENST00000314099,A4FU28,cTAGE family member 9 ,0.0,,
CTBP1,ENSG00000159692,ENST00000382952,Q13363,C-terminal-binding protein 1 ,164.578257,332.4806168,200153.3313136
CTBP2,ENSG00000175029,ENST00000531469,P56545,C-terminal-binding protein 2 ,73.34375667,638.0007068,384076.4254936
CTBS,ENSG00000117151,ENST00000370630,Q01459,Di-N-acetylchitobiase ,5.224763667,7.020302514,4226.222113428
CTC1,ENSG00000178971,ENST00000315684,Q2NKJ3,CST complex subunit CTC1 ,13.39231033,4.374241179,2633.293189758
CTCF,ENSG00000102974,ENST00000264010,P49711,Transcriptional repressor CTCF ,51.42706728,279.1206555,168030.634611
CTCFL,ENSG00000124092,ENST00000502686,Q8NI51,Transcriptional repressor CTCFL ,0.498664483,,
CTDNEP1,ENSG00000175826,ENST00000574322,O95476,CTD nuclear envelope phosphatase 1 ,108.5686867,17.58031881,10583.35192362
CTDP1,ENSG00000060069,ENST00000075430,Q9Y5B0,RNA polymerase II subunit A C-terminal domain phosphatase ,17.26405893,52.53487258,31625.993293159998
CTDSP1,ENSG00000144579,ENST00000273062,Q9GZU7,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 ,34.50983282,15.10536494,9093.42969388
CTDSP2,ENSG00000175215,ENST00000398073,O14595,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2 ,39.29049967,1.588629611,956.355025822
CTDSPL,ENSG00000144677,ENST00000443503,O15194,CTD small phosphatase-like protein ,24.78430293,14.03057514,8446.40623428
CTDSPL2,ENSG00000137770,ENST00000558966,Q05D32,CTD small phosphatase-like protein 2 ,36.06226867,158.2701307,95278.61868140001
CTF1,ENSG00000150281,ENST00000279804,Q16619,Cardiotrophin-1 ,1.1797,4.312754419,2596.278160238
CTH,ENSG00000116761,ENST00000370938,P32929,Cystathionine gamma-lyase ,16.09227833,301.3582174,181417.6468748
CTHRC1,ENSG00000164932,ENST00000330295,Q96CG8,Collagen triple helix repeat-containing protein 1,0.0,,
CTIF,ENSG00000134030,ENST00000256413,O43310,CBP80/20-dependent translation initiation factor,9.94759,32.68498636,19676.36178872
CTLA4,ENSG00000163599,ENST00000295854,P16410,Cytotoxic T-lymphocyte protein 4 ,0.0,,
CTNNA1,ENSG00000044115,ENST00000302763,P35221,Catenin alpha-1 ,98.53164656,668.0320553,402155.2972906
CTNNA2,ENSG00000066032,ENST00000466387,P26232,Catenin alpha-2 ,0.060493833,30.74011963,18505.55201726
CTNNA3,ENSG00000183230,ENST00000433211,Q9UI47,Catenin alpha-3 ,0.21577164,,
CTNNAL1,ENSG00000119326,ENST00000325551,Q9UBT7,Alpha-catulin ,48.26965433,51.40644861,30946.68206322
CTNNB1,ENSG00000168036,ENST00000396183,P35222,Catenin beta-1 ,318.4507533,318.5540118,191769.51510360002
CTNNBIP1,ENSG00000178585,ENST00000400904,Q9NSA3,Beta-catenin-interacting protein 1 ,20.05871,155.071014,93352.750428
CTNNBL1,ENSG00000132792,ENST00000361383,Q8WYA6,Beta-catenin-like protein 1 ,55.08322887,528.2206003,317988.8013806
CTNND1,ENSG00000198561,ENST00000358694,O60716,Catenin delta-1 ,57.26678152,525.0974231,316108.6487062
CTNND2,ENSG00000169862,ENST00000304623,Q9UQB3,Catenin delta-2 ,0.267194,,
CTNS,ENSG00000040531,ENST00000046640,O60931,Cystinosin,16.52119867,,
CTPS1,ENSG00000171793,ENST00000372621,P17812,CTP synthase 1 ,214.483457,2059.851803,1240030.785406
CTPS2,ENSG00000047230,ENST00000359276,Q9NRF8,CTP synthase 2 ,20.25787463,140.9077809,84826.4841018
CTR9,ENSG00000198730,ENST00000361367,Q6PD62,RNA polymerase-associated protein CTR9 homolog ,52.49904433,206.0695248,124053.85392960001
CTRB1,ENSG00000168925,ENST00000361017,P17538,Chymotrypsinogen B ,0.051062233,,
CTRB2,ENSG00000168928,ENST00000303037,Q6GPI1,Chymotrypsinogen B2 ,0.0,,
CTRC,ENSG00000162438,ENST00000375949,Q99895,Chymotrypsin-C ,0.220494033,,
CTRL,ENSG00000141086,ENST00000574481,P40313,Chymotrypsin-like protease CTRL-1 ,2.487008009,,
CTSA,ENSG00000064601,ENST00000191018,P10619,Lysosomal protective protein ,58.49642667,62.97561094,37911.317785880005
CTSB,ENSG00000164733,ENST00000453527,P07858,Cathepsin B ,49.17023431,120.2112341,72367.16292819999
CTSC,ENSG00000109861,ENST00000227266,P53634,Dipeptidyl peptidase 1 ,45.09055033,123.0712524,74088.8939448
CTSD,ENSG00000117984,ENST00000236671,P07339,Cathepsin D ,123.6619497,887.0581735,534009.0204469999
CTSE,ENSG00000196188,ENST00000358184,P14091,Cathepsin E ,0.0,,
CTSF,ENSG00000174080,ENST00000310325,Q9UBX1,Cathepsin F ,13.096293,0.829923358,499.61386151600004
CTSG,ENSG00000100448,ENST00000216336,P08311,Cathepsin G ,0.0,,
CTSH,ENSG00000103811,ENST00000220166,P09668,Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H ,47.7474,37.20643627,22398.274634539997
CTSK,ENSG00000143387,ENST00000271651,P43235,Cathepsin K ,1.590828,,
CTSL,ENSG00000135047,ENST00000340342,P07711,Procathepsin L ,66.911287,139.277806,83845.239212
CTSO,ENSG00000256043,ENST00000433477,P43234,Cathepsin O ,0.994648667,1.127782715,678.9251944299999
CTSS,ENSG00000163131,ENST00000368985,P25774,Cathepsin S ,0.1465394,,
CTSV,ENSG00000136943,ENST00000259470,O60911,Cathepsin L2 ,25.404725,14.29403074,8605.00650548
CTSW,ENSG00000172543,ENST00000307886,P56202,Cathepsin W ,0.054124667,,
CTSZ,ENSG00000101160,ENST00000217131,Q9UBR2,Cathepsin Z ,12.533872,35.47130159,21353.72355718
CTTN,ENSG00000085733,ENST00000301843,Q14247,Src substrate cortactin ,112.0873847,1391.775474,837848.835348
CTTNBP2,ENSG00000077063,ENST00000160373,Q8WZ74,Cortactin-binding protein 2 ,3.793124333,4.871090949,2932.3967512980003
CTTNBP2NL,ENSG00000143079,ENST00000271277,Q9P2B4,CTTNBP2 N-terminal-like protein,11.27946767,95.21012524,57316.49539448
CTU1,ENSG00000142544,ENST00000421832,Q7Z7A3,Cytoplasmic tRNA 2-thiolation protein 1 ,15.49196667,58.73778822,35360.14850844
CTU2,ENSG00000174177,ENST00000453996,Q2VPK5,Cytoplasmic tRNA 2-thiolation protein 2 ,46.44409233,111.2598214,66978.4124828
CTXN1,ENSG00000178531,ENST00000318978,P60606,Cortexin-1,48.5238,,
CTXN2,ENSG00000233932,ENST00000417307,P0C2S0,Cortexin-2,0.015979433,,
CTXN3,ENSG00000205279,ENST00000379445,Q4LDR2,Cortexin-3 ,0.0,,
CTXND1,ENSG00000259417,ENST00000560778,A0A1B0GTU2,Cortexin domain-containing 1,0.018776633,,
CTXND2,ENSG00000283324,ENST00000636087,A0A1B0GV90,Cortexin domain containing 2,0.013824933,,
CUBN,ENSG00000107611,ENST00000377833,O60494,Cubilin ,0.1308856,,
CUEDC1,ENSG00000180891,ENST00000577830,Q9NWM3,CUE domain-containing protein 1,21.11152093,19.3800174,11666.7704748
CUEDC2,ENSG00000107874,ENST00000369937,Q9H467,CUE domain-containing protein 2,58.37481867,264.9570141,159504.1224882
CUL1,ENSG00000055130,ENST00000325222,Q13616,Cullin-1 ,92.35993967,564.9316479,340088.8520358
CUL2,ENSG00000108094,ENST00000421317,Q13617,Cullin-2 ,29.3384296,229.2476163,138007.0650126
CUL3,ENSG00000036257,ENST00000409096,Q13618,Cullin-3 ,61.61827607,403.6083998,242972.2566796
CUL4A,ENSG00000139842,ENST00000451881,Q13619,Cullin-4A ,54.12078,143.0082652,86090.97565040001
CUL4B,ENSG00000158290,ENST00000371322,Q13620,Cullin-4B ,70.38315767,683.1843967,411277.00681339996
CUL5,ENSG00000166266,ENST00000393094,Q93034,Cullin-5 ,28.45635433,223.5536346,134579.28802920002
CUL7,ENSG00000044090,ENST00000265348,Q14999,Cullin-7 ,11.02139,28.01279382,16863.70187964
CUL9,ENSG00000112659,ENST00000252050,Q8IWT3,Cullin-9 ,9.84341417,2.576849523,1551.263412846
CUSTOS,ENSG00000157895,ENST00000288757,Q96C57,Protein CUSTOS,30.44284567,240.5113418,144787.82776359998
CUTA,ENSG00000112514,ENST00000488034,O60888,Protein CutA ,230.1729907,1113.584113,670377.6360259999
CUTC,ENSG00000119929,ENST00000370476,Q9NTM9,Copper homeostasis protein cutC homolog,49.41808667,321.7304474,193681.7293348
CUX1,ENSG00000257923,ENST00000360264,Q13948,Protein CASP,20.99947978,137.0572842,82508.4850884
CUX2,ENSG00000111249,ENST00000261726,O14529,Homeobox protein cut-like 2 ,1.898720667,0.291280929,175.351119258
CUZD1,ENSG00000286088,ENST00000368904,,,0.1750957,,
CWC15,ENSG00000150316,ENST00000279839,Q9P013,Spliceosome-associated protein CWC15 homolog,79.162816,515.886538,310563.695876
CWC22,ENSG00000163510,ENST00000410053,Q9HCG8,Pre-mRNA-splicing factor CWC22 homolog ,27.31447667,112.6418665,67810.40363300001
CWC25,ENSG00000273559,ENST00000614790,Q9NXE8,Pre-mRNA-splicing factor CWC25 homolog ,19.82044333,63.68319476,38337.28324552
CWC27,ENSG00000153015,ENST00000381070,Q6UX04,Spliceosome-associated protein CWC27 homolog ,39.62210467,488.7143174,294206.0190748
CWF19L1,ENSG00000095485,ENST00000354105,Q69YN2,CWF19-like protein 1 ,42.06849603,422.9771405,254632.238581
CWF19L2,ENSG00000152404,ENST00000282251,Q2TBE0,CWF19-like protein 2,15.29463733,73.01444347,43954.69496894
CWH43,ENSG00000109182,ENST00000226432,Q9H720,PGAP2-interacting protein ,0.0,,
CX3CL1,ENSG00000006210,ENST00000006053,P78423,Fractalkine ,0.205041967,,
CX3CR1,ENSG00000168329,ENST00000399220,P49238,CX3C chemokine receptor 1 ,0.068663633,,
CXADR,ENSG00000154639,ENST00000400169,P78310,Coxsackievirus and adenovirus receptor ,24.48944333,153.0352473,92127.2188746
CXCL1,ENSG00000163739,ENST00000395761,P09341,Growth-regulated alpha protein ,0.209223833,,
CXCL10,ENSG00000169245,ENST00000306602,P02778,C-X-C motif chemokine 10 ,0.0,,
CXCL11,ENSG00000169248,ENST00000306621,O14625,C-X-C motif chemokine 11 ,0.0,,
CXCL12,ENSG00000107562,ENST00000374429,P48061,Stromal cell-derived factor 1 ,2.245565407,1.981850985,1193.07429297
CXCL13,ENSG00000156234,ENST00000286758,O43927,C-X-C motif chemokine 13 ,0.0,,
CXCL14,ENSG00000145824,ENST00000337225,O95715,C-X-C motif chemokine 14 ,5.45724,,
CXCL16,ENSG00000161921,ENST00000293778,Q9H2A7,C-X-C motif chemokine 16 ,6.529653,5.13172505,3089.2984801000002
CXCL17,ENSG00000189377,ENST00000601181,Q6UXB2,C-X-C motif chemokine 17 ,0.0288387,,
CXCL2,ENSG00000081041,ENST00000508487,P19875,C-X-C motif chemokine 2 ,0.41275,,
CXCL3,ENSG00000163734,ENST00000296026,P19876,C-X-C motif chemokine 3 ,0.614504333,,
CXCL5,ENSG00000163735,ENST00000296027,P42830,C-X-C motif chemokine 5 ,0.006038767,,
CXCL6,ENSG00000124875,ENST00000226317,P80162,C-X-C motif chemokine 6 ,0.307250667,,
CXCL8,ENSG00000169429,ENST00000307407,P10145,Interleukin-8 ,0.066055067,,
CXCL9,ENSG00000138755,ENST00000264888,Q07325,C-X-C motif chemokine 9 ,0.0,,
CXCR1,ENSG00000163464,ENST00000295683,P25024,C-X-C chemokine receptor type 1 ,0.0,,
CXCR2,ENSG00000180871,ENST00000318507,P25025,C-X-C chemokine receptor type 2 ,0.068840933,,
CXCR3,ENSG00000186810,ENST00000373691,P49682,C-X-C chemokine receptor type 3 ,0.0,,
CXCR4,ENSG00000121966,ENST00000241393,P61073,C-X-C chemokine receptor type 4 ,7.278947667,6.487317819,3905.365327038
CXCR5,ENSG00000160683,ENST00000292174,P32302,C-X-C chemokine receptor type 5 ,0.0,,
CXCR6,ENSG00000172215,ENST00000438735,O00574,C-X-C chemokine receptor type 6 ,0.0276803,,
CXXC1,ENSG00000154832,ENST00000412036,Q9P0U4,CXXC-type zinc finger protein 1 ,68.57293167,110.3421541,66425.9767682
CXXC5,ENSG00000171604,ENST00000302517,Q7LFL8,CXXC-type zinc finger protein 5 ,19.89448967,6.148576804,3701.443236008
CXorf38,ENSG00000185753,ENST00000327877,Q8TB03,Uncharacterized protein CXorf38,15.678511,106.9424278,64379.341535600004
CXorf49,ENSG00000215115,ENST00000535490,A8MYA2,Uncharacterized protein CXorf49,0.0,,
CXorf51A,ENSG00000224440,ENST00000458472,A0A1B0GTR3,Uncharacterized protein CXorf51A,0.0,,
CXorf51B,ENSG00000235699,ENST00000438525,P0DPH9,Uncharacterized protein CXorf51B,0.0,,
CXorf58,ENSG00000165182,ENST00000379211,Q96LI9,Putative uncharacterized protein CXorf58,0.062859333,,
CXorf65,ENSG00000204165,ENST00000374251,A6NEN9,Uncharacterized protein CXorf65,0.0,,
CXorf66,ENSG00000203933,ENST00000370540,Q5JRM2,Uncharacterized protein CXorf66,0.0,,
CYB561,ENSG00000008283,ENST00000360793,P49447,Transmembrane ascorbate-dependent reductase CYB561 ,12.24485787,7.602914815,4576.95471863
CYB561A3,ENSG00000162144,ENST00000294072,Q8NBI2,Lysosomal membrane ascorbate-dependent ferrireductase CYB561A3 ,19.22926663,,
CYB561D1,ENSG00000174151,ENST00000310611,Q8N8Q1,Probable transmembrane reductase CYB561D1 ,6.204292167,0.845898914,509.23114622799994
CYB561D2,ENSG00000114395,ENST00000232508,O14569,Transmembrane reductase CYB561D2 ,25.78738833,169.652047,102130.532294
CYB5A,ENSG00000166347,ENST00000397914,P00167,Cytochrome b5 ,88.20491733,1302.018857,783815.351914
CYB5B,ENSG00000103018,ENST00000512062,O43169,Cytochrome b5 type B ,105.3833123,1763.669779,1061729.206958
CYB5D1,ENSG00000182224,ENST00000332439,Q6P9G0,Cytochrome b5 domain-containing protein 1,28.556992,,
CYB5D2,ENSG00000167740,ENST00000301391,Q8WUJ1,Neuferricin ,19.92240233,17.12282635,10307.9414627
CYB5R1,ENSG00000159348,ENST00000367249,Q9UHQ9,NADH-cytochrome b5 reductase 1 ,41.35775633,270.5636232,162879.3011664
CYB5R2,ENSG00000166394,ENST00000299498,Q6BCY4,NADH-cytochrome b5 reductase 2 ,0.1945308,,
CYB5R3,ENSG00000100243,ENST00000352397,P00387,NADH-cytochrome b5 reductase 3 ,107.322901,1710.404994,1029663.806388
CYB5R4,ENSG00000065615,ENST00000369681,Q7L1T6,Cytochrome b5 reductase 4 ,18.55534333,63.10848015,37991.3050503
CYB5RL,ENSG00000215883,ENST00000287899,Q6IPT4,NADH-cytochrome b5 reductase-like ,21.09698767,,
CYBA,ENSG00000051523,ENST00000261623,P13498,Cytochrome b-245 light chain ,211.6415933,41.02401418,24696.45653636
CYBB,ENSG00000165168,ENST00000378588,P04839,Cytochrome b-245 heavy chain ,0.125138,,
CYBC1,ENSG00000178927,ENST00000306645,Q9BQA9,Cytochrome b-245 chaperone 1 ,53.32736334,51.80463523,31186.39040846
CYBRD1,ENSG00000071967,ENST00000409484,Q53TN4,Plasma membrane ascorbate-dependent reductase CYBRD1 ,6.124398,4.094851088,2465.1003549760003
CYC1,ENSG00000179091,ENST00000318911,P08574,"Cytochrome c1, heme protein, mitochondrial ",248.4449927,460.3635501,277138.8571602
CYCS,ENSG00000172115,ENST00000409764,P99999,Cytochrome c,358.1842667,1826.828718,1099750.888236
CYFIP1,ENSG00000273749,ENST00000610365,Q7L576,Cytoplasmic FMR1-interacting protein 1 ,46.34933311,282.4279009,170021.5963418
CYFIP2,ENSG00000055163,ENST00000620254,Q96F07,Cytoplasmic FMR1-interacting protein 2 ,30.498018,61.68869917,37136.59690034
CYGB,ENSG00000161544,ENST00000293230,Q8WWM9,Cytoglobin ,0.467859913,,
CYHR1,ENSG00000187954,ENST00000403000,Q6ZMK1,Cysteine and histidine-rich protein 1,38.300447,9.51069265,5725.436975299999
CYLC1,ENSG00000183035,ENST00000329312,P35663,Cylicin-1 ,0.0,,
CYLC2,ENSG00000155833,ENST00000374798,Q14093,Cylicin-2 ,0.0,,
CYLD,ENSG00000083799,ENST00000398568,Q9NQC7,Ubiquitin carboxyl-terminal hydrolase CYLD ,16.359154,18.28394814,11006.93678028
CYP11A1,ENSG00000140459,ENST00000268053,P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial ",0.129530667,,
CYP11B1,ENSG00000160882,ENST00000292427,P15538,"Cytochrome P450 11B1, mitochondrial ",0.0,,
CYP11B2,ENSG00000179142,ENST00000323110,P19099,"Cytochrome P450 11B2, mitochondrial ",0.0,,
CYP17A1,ENSG00000148795,ENST00000369887,P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase ",0.102042333,,
CYP19A1,ENSG00000137869,ENST00000396402,P11511,Aromatase ,0.0,,
CYP1A1,ENSG00000140465,ENST00000379727,P04798,Cytochrome P450 1A1 ,0.601071601,,
CYP1A2,ENSG00000140505,ENST00000343932,P05177,Cytochrome P450 1A2 ,0.174670333,,
CYP1B1,ENSG00000138061,ENST00000610745,Q16678,Cytochrome P450 1B1 ,2.164634,,
CYP20A1,ENSG00000119004,ENST00000356079,Q6UW02,Cytochrome P450 20A1 ,9.821712333,68.448788,41206.170375999995
CYP21A2,ENSG00000206338,ENST00000383321,P08686,Steroid 21-hydroxylase ,0.011303533,,
CYP24A1,ENSG00000019186,ENST00000395955,Q07973,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial ",0.063932833,,
CYP26A1,ENSG00000095596,ENST00000224356,O43174,Cytochrome P450 26A1 ,4.849943042,,
CYP26B1,ENSG00000003137,ENST00000001146,Q9NR63,Cytochrome P450 26B1 ,9.242937093,,
CYP26C1,ENSG00000187553,ENST00000285949,Q6V0L0,Cytochrome P450 26C1 ,0.038101133,,
CYP27A1,ENSG00000135929,ENST00000258415,Q02318,"Sterol 26-hydroxylase, mitochondrial ",1.148610867,,
CYP27B1,ENSG00000111012,ENST00000228606,O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial ",8.679914,,
CYP27C1,ENSG00000186684,ENST00000409327,Q4G0S4,Cytochrome P450 27C1 ,2.934843333,2.138290783,1287.251051366
CYP2A13,ENSG00000197838,ENST00000330436,Q16696,Cytochrome P450 2A13 ,0.0,,
CYP2A6,ENSG00000255974,ENST00000301141,P11509,Cytochrome P450 2A6 ,0.0,,
CYP2A7,ENSG00000198077,ENST00000301146,P20853,Cytochrome P450 2A7 ,0.0,,
CYP2B6,ENSG00000197408,ENST00000324071,P20813,Cytochrome P450 2B6 ,0.146717397,,
CYP2C18,ENSG00000108242,ENST00000285979,P33260,Cytochrome P450 2C18 ,0.023747133,,
CYP2C19,ENSG00000165841,ENST00000371321,P33261,Cytochrome P450 2C19 ,0.164313867,,
CYP2C8,ENSG00000138115,ENST00000371270,P10632,Cytochrome P450 2C8 ,0.0,,
CYP2C9,ENSG00000138109,ENST00000260682,P11712,Cytochrome P450 2C9 ,0.166873767,,
CYP2D6,ENSG00000275211,ENST00000360608,P10635,Cytochrome P450 2D6 ,0.949943322,,
CYP2D7,ENSG00000205702,ENST00000612115,A0A087X1C5,Putative cytochrome P450 2D7 ,1.5260065,,
CYP2E1,ENSG00000130649,ENST00000252945,P05181,Cytochrome P450 2E1 ,1.42382174,,
CYP2F1,ENSG00000197446,ENST00000331105,P24903,Cytochrome P450 2F1 ,0.019252767,7.429473876,4472.543273352
CYP2J2,ENSG00000134716,ENST00000371204,P51589,Cytochrome P450 2J2 ,4.433525233,5.923558867,3565.982437934
CYP2R1,ENSG00000186104,ENST00000334636,Q6VVX0,Vitamin D 25-hydroxylase ,13.47568767,,
CYP2S1,ENSG00000167600,ENST00000310054,Q96SQ9,Cytochrome P450 2S1 ,3.546940333,3.012911609,1813.772788618
CYP2U1,ENSG00000155016,ENST00000332884,Q7Z449,Cytochrome P450 2U1 ,3.595856333,4.299422043,2588.252069886
CYP2W1,ENSG00000073067,ENST00000308919,Q8TAV3,Cytochrome P450 2W1 ,0.013269267,,
CYP39A1,ENSG00000146233,ENST00000275016,Q9NYL5,24-hydroxycholesterol 7-alpha-hydroxylase ,4.070467667,,
CYP3A4,ENSG00000160868,ENST00000336411,P08684,Cytochrome P450 3A4 ,0.0261237,,
CYP3A43,ENSG00000021461,ENST00000417625,Q9HB55,Cytochrome P450 3A43 ,0.358538367,,
CYP3A5,ENSG00000106258,ENST00000646887,P20815,Cytochrome P450 3A5 ,1.9387978,,
CYP3A7,ENSG00000160870,ENST00000336374,P24462,Cytochrome P450 3A7 ,0.0,,
CYP3A7-CYP3A51P,ENSG00000282301,ENST00000611620,,,0.0,,
CYP46A1,ENSG00000036530,ENST00000261835,Q9Y6A2,Cholesterol 24-hydroxylase ,0.464964958,,
CYP4A11,ENSG00000187048,ENST00000310638,Q02928,Cytochrome P450 4A11 ,0.049720333,,
CYP4A22,ENSG00000162365,ENST00000371891,Q5TCH4,Cytochrome P450 4A22 ,0.16238,,
CYP4B1,ENSG00000142973,ENST00000271153,P13584,Cytochrome P450 4B1 ,0.446149,,
CYP4F11,ENSG00000171903,ENST00000248041,Q9HBI6,Cytochrome P450 4F11 ,0.167445728,,
CYP4F12,ENSG00000186204,ENST00000517734,Q9HCS2,Cytochrome P450 4F12 ,0.1727957,,
CYP4F2,ENSG00000186115,ENST00000221700,P78329,Cytochrome P450 4F2 ,0.022629733,,
CYP4F22,ENSG00000171954,ENST00000269703,Q6NT55,Cytochrome P450 4F22 ,0.475764,,
CYP4F3,ENSG00000186529,ENST00000221307,Q08477,Cytochrome P450 4F3 ,0.511093233,,
CYP4F8,ENSG00000186526,ENST00000612078,P98187,Cytochrome P450 4F8 ,0.112137233,,
CYP4V2,ENSG00000145476,ENST00000378802,Q6ZWL3,Cytochrome P450 4V2 ,8.206803,,
CYP4X1,ENSG00000186377,ENST00000371901,Q8N118,Cytochrome P450 4X1 ,0.188334667,,
CYP4Z1,ENSG00000186160,ENST00000334194,Q86W10,Cytochrome P450 4Z1 ,0.0,,
CYP51A1,ENSG00000001630,ENST00000450723,Q16850,Lanosterol 14-alpha demethylase ,70.62059233,434.1791038,261375.8204876
CYP7A1,ENSG00000167910,ENST00000301645,P22680,Cytochrome P450 7A1 ,0.005048633,,
CYP7B1,ENSG00000172817,ENST00000310193,O75881,Cytochrome P450 7B1 ,0.0,,
CYP8B1,ENSG00000180432,ENST00000316161,Q9UNU6,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase ,0.056820533,,
CYREN,ENSG00000122783,ENST00000424142,Q9BWK5,Cell cycle regulator of non-homologous end joining ,79.8317907,58.54540289,35244.33253978
CYRIA,ENSG00000197872,ENST00000406434,Q9H0Q0,CYFIP-related Rac1 interactor A ,0.1869471,,
CYRIB,ENSG00000153310,ENST00000519540,Q9NUQ9,CYFIP-related Rac1 interactor B ,68.23670922,,
CYS1,ENSG00000205795,ENST00000381813,Q717R9,Cystin-1 ,0.346329,,
CYSLTR1,ENSG00000173198,ENST00000373304,Q9Y271,Cysteinyl leukotriene receptor 1 ,1.11731,,
CYSLTR2,ENSG00000152207,ENST00000282018,Q9NS75,Cysteinyl leukotriene receptor 2 ,0.038300523,,
CYSTM1,ENSG00000120306,ENST00000261811,Q9H1C7,Cysteine-rich and transmembrane domain-containing protein 1,41.35196697,140.7220269,84714.6601938
CYTH1,ENSG00000108669,ENST00000361101,Q15438,Cytohesin-1 ,25.09199247,31.35430489,18875.29154378
CYTH2,ENSG00000105443,ENST00000452733,Q99418,Cytohesin-2 ,32.99288989,8.490672141,5111.384628882
