ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
1238	PBAF complex (Polybromo- and BAF containing complex)	Human	SWI/SNF-B complex	T47D cells	O96019;P51532;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q969G3;Q96GM5	86;6597;6598;196528;55193;6601;6599;6605;6602	MI:0004-affinity chromatography technology;MI:0006-anti bait coimmunoprecipitation	GO:0006265;GO:0045893;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;chromosome	10.01.09.05;11.02.03.04.01;16.03.01;30.01.09.08;30.01;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;chromosome	11780067	The chromatin-remodeling complex PBAF facilitates gene activation by assisting transcription machinery to gain access to targets on the chromosome.	None	Two other subunits of the complex were found in the analysis, which have not been further characterized: BAF110 and BAF240.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Actin-like protein 6A;Transcription activator BRG1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;AT-rich interactive domain-containing protein 2;Protein polybromo-1;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	ACTL6A;SMARCA4;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1	BAF53 BAF53A INO80K;BAF190A BRG1 SNF2B SNF2L4;BAF47, INI1, SNF5L1;BAF200 KIAA1557;BAF180 PB1;BAF170;BAF155;BAF57;BAF60A
1239	EBAFb complex	Human	ENL-associated BAF250b-containing SWI/SNF complex	None	O96019;P51532;Q03111;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5	86;6597;4298;6598;57492;6601;6599;6603;6605;6602	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;chromosome	10.01.09.05;11.02.03.04.01;16.03.01;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;organization of chromosome structure;chromosome	12665591	ENL associates and cooperates with SWI/SNF complexes to activate transcription of the promoter of HoxA7, a downstream target essential for oncogenic activity of ENL.	None	Three other subunits of the complex were found in the analysis, which have not been further characterized: EBAF140, EBAF100 and EBAF70.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Actin-like protein 6A;Transcription activator BRG1;Protein ENL;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;AT-rich interactive domain-containing protein 1B;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	ACTL6A;SMARCA4;MLLT1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1	BAF53 BAF53A INO80K;BAF190A BRG1 SNF2B SNF2L4;ENL LTG19 YEATS1;BAF47, INI1, SNF5L1;BAF250B DAN15 KIAA1235 OSA2;BAF170;BAF155;BAF60B;BAF57;BAF60A
1243	Ubiquitin E3 ligase (SPOP, DAXX, CUL3)	Human	None	None	O43791;Q13618;Q9UER7	8405;8452;1616	MI:0007-anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0016567;GO:0043161;GO:0006511;GO:0043067;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of programmed cell death;nucleus	11.02.03.04;14.07.05;14.13.01.01;40.10.02.04;70.10	transcriptional control;modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);regulation of apoptosis;nucleus	16524876	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. SPOP serves as an adaptor of Daxx for the ubiquitination by Cul3-based ubiquitin ligase and subsequent degradation by the proteasome. Experiments suggest that SPOP/Cul3-ubiquitin ligase plays an essential role in the control of Daxx level and, thus, in the regulation of Daxx-mediated cellular processes, including transcriptional regulation and apoptosis.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Speckle-type POZ protein;Cullin-3;Death domain-associated protein 6	SPOP;CUL3;DAXX	None;KIAA0617;BING2 DAP6
1245	Protein phosphatase 4 complex	Human	PPP4; PPP4c	None	P60510;Q9NY27	5531;151987	MI:0028-cosedimentation in solution	GO:0006470;GO:0005813;GO:0000226	protein dephosphorylation;centrosome;microtubule cytoskeleton organization	14.07.03;70.05;42.04.05	modification by phosphorylation, dephosphorylation, autophosphorylation;centrosome;microtubule cytoskeleton	10769191	Protein phosphatase 4 (PPP4) is a protein serine/threonine phosphatase that has been implicated in microtubule organization at centrosomes.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Serine/threonine-protein phosphatase 4 catalytic subunit;Serine/threonine-protein phosphatase 4 regulatory subunit 2	PPP4C;PPP4R2	PPP4 PPX;None
1248	Apoptosome	Human	None	None	O14727;P99999	317;54205	MI:0114-x-ray crystallography	GO:0006915;GO:0005737	apoptotic process;cytoplasm	40.10.02;70.03	apoptosis (type I programmed cell death);cytoplasm	16271896	The apoptosome is a multiprotein complex mediating the mitochondrial pathway of cell death. Oligomeric Apaf-1 mediates the cytochrome c-dependent autocatalytic activation of pro-caspase-9 (Apaf-3), leading to the activation of caspase-3 and apoptosis. In the absence of an apoptotic signal, Apaf-1 exists in a monomeric form.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Apoptotic protease-activating factor 1;Cytochrome c	APAF1;CYCS	KIAA0413;CYC
1250	RB1-E2F1 complex	Human	None	MCF7 cells	P06400;Q01094	5925;1869	MI:0019-coimmunoprecipitation	GO:0006974;GO:0005634;GO:0051726;GO:0006355	cellular response to DNA damage stimulus;nucleus;regulation of cell cycle;regulation of DNA-templated transcription	32.01.09;70.10;10.03.01;11.02.03.04	DNA damage response;nucleus;mitotic cell cycle and cell cycle control;transcriptional control	17380128	The phosphorylation of pRB at Ser612 is induced by ATM-Chk1/2 kinase after DNA damage, leading to enhancement of the formation of a complex between pRB and E2F-1. It is proposed, that in asynchronously growing cells, pRB exists in a predominantly phosphorylated state, which is dissociated from E2F, allowing E2F-dependent transcription. DNA damage induces dephosphorylation of pRB at Cdk phosphorylation sites, leading to the complex pRB-E2F-1 being formed. DNA damage also activates ATM kinase and transduces signals to the checkpoint kinases Chk1 and Chk2. Activated Chk1 and Chk2 phosphorylate Ser612 of pRB and this phosphorylation enhances the formation of a complex between pRB and E2F-1, leading to repression of the transcriptional activity of E2F-1. Consequently, pRB-dependent cell cycle arrest and repression of apoptosis occur.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Retinoblastoma-associated protein;Transcription factor E2F1	RB1;E2F1	None;RBBP3
1251	BAF complex	Human	SWI/SNF-A complex	None	O14497;O96019;P51531;Q12824;Q8TAQ2;Q92922;Q969G3;Q96GM5	8289;86;6595;6598;6601;6599;6605;6602	MI:0071-molecular sieving	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;chromosome	10.01.09.05;11.02.03.04.01;16.03.01;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;organization of chromosome structure;chromosome	12665591	BAF complex belongs to chromatin remodeling complexes.	None	Since the authors did not specify SMARCA, we used SMARCA2.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AT-rich interactive domain-containing protein 1A;Actin-like protein 6A;Probable global transcription activator SNF2L2;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	ARID1A;ACTL6A;SMARCA2;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;BAF190B BRM SNF2A SNF2L2;BAF47, INI1, SNF5L1;BAF170;BAF155;BAF57;BAF60A
1252	EBAFa complex	Human	ENL-associated BAF250a-containing SWI/SNF complex	None	O14497;O96019;P51532;Q03111;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5	8289;86;6597;4298;6598;6601;6599;6603;6605;6602	MI:0006-anti bait coimmunoprecipitation;MI:0071-molecular sieving	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005694	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;chromosome	10.01.09.05;11.02.03.04.01;16.03.01;42.10.03;70.10.03	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;organization of chromosome structure;chromosome	12665591	ENL associates and cooperates with SWI/SNF complexes to activate transcription of the promoter of HoxA7, a downstream target essential for oncogenic activity of ENL.	None	Three other subunits of the complex were found in the analysis, which have not been further characterized: EBAF140, EBAF100 and EBAF70.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AT-rich interactive domain-containing protein 1A;Actin-like protein 6A;Transcription activator BRG1;Protein ENL;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	ARID1A;ACTL6A;SMARCA4;MLLT1;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;BAF190A BRG1 SNF2B SNF2L4;ENL LTG19 YEATS1;BAF47, INI1, SNF5L1;BAF170;BAF155;BAF60B;BAF57;BAF60A
1254	Menin-associated histone methyltransferase complex	Human	menin HMTase complex	None	O00255;P30876;P61964;Q15291;Q9C005;Q9UBL3;Q9UMN6	4221;5431;11091;5929;84661;9070;None	MI:0006-anti bait coimmunoprecipitation;MI:0029-cosedimentation through density gradient	GO:0006265;GO:0006349;GO:0045893;GO:0006479;GO:0051276;GO:0030154;GO:0005634	DNA topological change;regulation of gene expression by genomic imprinting;positive regulation of DNA-templated transcription;protein methylation;chromosome organization;cell differentiation;nucleus	10.01.09.05;10.01.09.07;11.02.03.04.01;14.07.09;42.10.03;40.02;70.10	DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;cell differentiation;nucleus	14992727	The menin-associated complex methylates histone H3 on lysine 4, suggesting menin activates the transcription of differentiation-regulating genes by covalent histone modification, and that this activity is related to tumor suppression by MEN1.	MEN1 gene is mutated in familial multiple endocrine neoplasia type 1.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Menin;DNA-directed RNA polymerase II subunit RPB2;WD repeat-containing protein 5;Retinoblastoma-binding protein 5;Protein dpy-30 homolog;Set1/Ash2 histone methyltransferase complex subunit ASH2;Histone-lysine N-methyltransferase 2B	MEN1;POLR2B;WDR5;RBBP5;DPY30;ASH2L;KMT2B	SCG2;None;BIG3;RBQ3;None;ASH2L1;HRX2 KIAA0304 MLL2 MLL4 TRX2 WBP7
1255	Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)	Human	None	None	O60907;P63208;Q8IUQ4;Q9HB71	6907;6500;6477;27101	MI:0018-two hybrid;MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0023052	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling	14.07.05;14.13.01.01;30.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling	11389839	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Conditional degradation of beta-catenin represents a central event in the Wnt signaling pathways controlling cell fate and proliferation. A network of protein interactions in which Siah, SIP (a novel Siah-interacting protein), Skp1, and Ebi collaborate in a pathway controlling beta-catenin levels, affecting activity of beta-catenin-dependent Tcf/LEF transcription factors.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	F-box-like/WD repeat-containing protein TBL1X;S-phase kinase-associated protein 1;E3 ubiquitin-protein ligase SIAH1;Calcyclin-binding protein	TBL1X;SKP1;SIAH1;CACYBP	TBL1;EMC19 OCP2 SKP1A TCEB1L;HUMSIAH;S100A6BP SIP
1256	MLL-HCF complex	Human	None	None	O00255;P05546;P51610;P61964;Q03164;Q15291;Q9UBL3	4221;3053;3054;11091;4297;5929;9070	MI:0006-anti bait coimmunoprecipitation;MI:0226-ion exchange chromatography	GO:0006265;GO:0006349;GO:2001141;GO:0006355;GO:0006479;GO:0051276;GO:0005634	DNA topological change;regulation of gene expression by genomic imprinting;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein methylation;chromosome organization;nucleus	10.01.09.05;10.01.09.07;11.02.03.04;14.07.09;42.10.03;70.10	DNA conformation modification (e.g. chromatin);DNA imprinting and other epigenetic effects;transcriptional control;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus	15199122	This complex links the menin tumor suppressor protein to the MLL histone methyltransferase machinery.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Menin;Heparin cofactor 2;Host cell factor 1;WD repeat-containing protein 5;Histone-lysine N-methyltransferase 2A;Retinoblastoma-binding protein 5;Set1/Ash2 histone methyltransferase complex subunit ASH2	MEN1;SERPIND1;HCFC1;WDR5;KMT2A;RBBP5;ASH2L	SCG2;HCF2;HCF1, HFC1;BIG3;ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1;RBQ3;ASH2L1
1257	ALL-1 supercomplex	Human	None	None	O00422;O60264;O60341;O75446;O94776;O95983;P20226;P21675;P49848;P51531;P61964;P62826;Q03164;Q09028;Q12824;Q12873;Q13547;Q15029;Q15291;Q16514;Q16576;Q16594;Q8TAQ2;Q92769;Q92797;Q92922;Q96ST3;Q9P2I0	10284;8467;23028;8819;9219;53615;6908;6872;6878;6595;11091;5901;4297;5928;6598;1107;3065;9343;5929;6883;5931;6880;6601;3066;8189;6599;25942;53981	MI:0004-affinity chromatography technology;MI:0071-molecular sieving	GO:0006265;GO:2001141;GO:0006355;GO:0006476;GO:0006479;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;protein deacetylation;protein methylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04;14.07.04;14.07.09;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus	12453419	The proteins associated with ALL-1 can be classified into eight groups. (1) BRM, BAF170, BAF155, and INI1, the core components of the ATP-dependent SWI/SNF nucleosome remodeling complex, (2) Mi2, MTA1-L1, HDAC1, HDAC2, RbAp46, RbAp48, MBD3, and KIAA0601, all components of the NuRD complex, (3) Sin3A, SAP30, SAP18, HDAC1, HDAC2, RbAp48, and RbAp46, components of the histone deacetylase Sin3A complex, (4) hSNF2H, homolog of ISWI, an ATP-dependent nucleosome remodeling and assembly factor, (5) TAFII250, TAFII80, TAFII31, TAFII20, and TBP, components of the TFIID complex, (6) RbBP5  and WDRP5, components of the yeast Set1 complex,  which methylates H3-K4. (7) Proteins involved in RNA processing, CPSF, Symplekin and EFTUD2. (8) Ran, which functions in nucleocytoplasmic transport and in spindle assembly during mitosis.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Histone deacetylase complex subunit SAP18;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Lysine-specific histone demethylase 1A;Histone deacetylase complex subunit SAP30;Metastasis-associated protein MTA2;Methyl-CpG-binding domain protein 3;TATA-box-binding protein;Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 6;Probable global transcription activator SNF2L2;WD repeat-containing protein 5;GTP-binding nuclear protein Ran;Histone-lysine N-methyltransferase 2A;Histone-binding protein RBBP4;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Chromodomain-helicase-DNA-binding protein 3;Histone deacetylase 1;116 kDa U5 small nuclear ribonucleoprotein component;Retinoblastoma-binding protein 5;Transcription initiation factor TFIID subunit 12;Histone-binding protein RBBP7;Transcription initiation factor TFIID subunit 9;SWI/SNF complex subunit SMARCC2;Histone deacetylase 2;Symplekin;SWI/SNF complex subunit SMARCC1;Paired amphipathic helix protein Sin3a;Cleavage and polyadenylation specificity factor subunit 2	SAP18;SMARCA5;KDM1A;SAP30;MTA2;MBD3;TBP;TAF1;TAF6;SMARCA2;WDR5;RAN;KMT2A;RBBP4;SMARCB1;CHD3;HDAC1;EFTUD2;RBBP5;TAF12;RBBP7;TAF9;SMARCC2;HDAC2;SYMPK;SMARCC1;SIN3A;CPSF2	None;SNF2H, WCRF135;AOF2 KDM1 KIAA0601 LSD1;None;MTA1L1 PID;None;GTF2D1 TF2D TFIID;BA2R CCG1 CCGS TAF2A;TAF2E TAFII70;BAF190B BRM SNF2A SNF2L2;BIG3;ARA24;ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1;RBAP48;BAF47, INI1, SNF5L1;None;RPD3L1;KIAA0031 SNRP116;RBQ3;TAF15 TAF2J TAFII20;RBAP46;TAF2G TAFII31;BAF170;None;SPK;BAF155;None;CPSF100, KIAA1367
